emp_id,name,role,location,manager,join_date,leave_balance,phone
C001,Meera Menon,Store Associate,Hyderabad - Banjara Hills,Ankit Rao,13/10/21,3,9680402501
C002,Meera Tripathi,HR Associate,Kolkata - Salt Lake,Kunal Kapoor,21/04/24,8,9808631930
C003,Vihaan Kapoor,Inventory Exec,Hyderabad - Banjara Hills,Kunal Kapoor,04/01/24,3,9935868570
C004,Sai Jadeja,Warehouse Packer,Delhi - Rohini,Rahul Khanna,18/02/23,8,9481367606
C005,Aadhya Yadav,Warehouse Picker,Bengaluru - HSR,Sanjay Patel,07/07/22,20,9623708840
C006,Mahika Desai,Inventory Exec,Pune - Kothrud,Sanjay Patel,09/08/24,14,9117574539
C007,Arjun Joshi,Assistant Manager,Delhi - Saket,Rahul Khanna,10/11/21,20,9165354259
C008,Riya Yadav,Store Cashier,Jaipur - Malviya Nagar,Ritu Mehta,17/08/21,9,9449825198
C009,Ayaan Paul,HR Associate,Pune - Baner,Ritu Mehta,11/04/25,5,9575030988
C010,Ayaan Nair,Store Associate,Pune - Koregaon Park,Rahul Khanna,07/02/25,15,9895169156
C011,Muhammad Shetty,HR Associate,Pune - Hinjawadi,Sanjay Patel,07/10/24,20,9384200550
C012,Anika Sinha,Store Associate,Pune - Koregaon Park,Priya Nair,08/11/22,2,9524578524
C013,Diya Patel,Store Cashier,Delhi - Dwarka,Ritu Mehta,18/05/23,13,9476904382
C014,Muhammad Kulkarni,Assistant Manager,Bengaluru - HSR,Neeraj Gupta,25/07/22,14,9294850989
C015,Mahika Jadeja,Warehouse Picker,Bengaluru - HSR,Kunal Kapoor,13/09/23,6,9891039726
C016,Avni Das,HR Associate,Ahmedabad - SG Highway,Ankit Rao,31/08/22,6,9955705581
C017,Ira Iyer,Beauty Advisor,Delhi - Saket,Ankit Rao,07/04/23,3,9955006532
C018,Riya Tripathi,Inventory Exec,Pune - Hinjawadi,Sanjay Patel,26/09/21,20,9237049902
C019,Arnav Agarwal,Inventory Exec,Delhi - Rohini,Ritu Mehta,07/08/22,5,9453985659
C020,Vihaan Chauhan,Beauty Advisor,Hyderabad - Banjara Hills,Rahul Khanna,01/03/25,17,9122368529
C021,Vivaan Iyer,Store Manager,Hyderabad - Banjara Hills,Priya Nair,15/11/22,4,9627540089
